rowname,elpd_diff,elpd,p_loo,looic,r2_loo,r2_marg,r2_cond
models_sub[[2]],0 (0),-10.82 (3.56),3.52 (0.94),21.64 (7.11),0.8,NA,0.84 (0.02)
models_sub[[1]],-0.7 (0.41),-11.52 (3.44),3.94 (0.93),23.03 (6.88),0.8,NA,0.83 (0.03)
models_sub[[3]],-22.78 (4.68),-33.6 (3.63),1.86 (0.56),67.21 (7.26),-0.04,NA,0 (0)
models_sub[[1]],0 (0),-28.44 (4.08),3.39 (0.97),56.88 (8.16),0.31,NA,0.42 (0.11)
models_sub[[2]],-2.04 (2.78),-30.48 (2.64),2.55 (0.55),60.96 (5.27),0.12,NA,0.27 (0.13)
models_sub[[3]],-5.16 (4.2),-33.6 (3.63),1.86 (0.56),67.21 (7.26),-0.04,NA,0 (0)
models_sub[[1]],0 (0),-31.68 (0.9),0.11 (0.01),63.36 (1.81),0.14,NA,0.14 (0.1)
models_sub[[2]],-0.8 (0.25),-32.48 (0.85),0.08 (0.01),64.96 (1.71),-0.01,NA,0.04 (0.05)
models_sub[[3]],-0.85 (0.36),-32.53 (0.88),0.05 (0.01),65.06 (1.76),-0.02,NA,0 (0)
models_sub[[1]],0 (0),-91.17 (3.45),3.44 (0.81),182.34 (6.91),0.01,NA,0.21 (0.12)
models_sub[[3]],-0.39 (2.39),-91.56 (2.53),1.4 (0.25),183.12 (5.06),-0.04,NA,0 (0)
models_sub[[2]],-1.61 (2.57),-92.78 (2.69),2.5 (0.71),185.56 (5.39),-0.14,NA,0.02 (0.03)
