ID,Species,Collection_date,Port_where_fish_was_landed,StatD,Quadrant,Grid,TL_mm,WT_kg,Fin.clip,Stock_wild,Sex,Mat,d15N_14N,d13C_12C,CN,d13corr
65891,BNT,7/5/15,EAST CHICAGO,IND,Southeast,2704,535,1.9,NONE,Unknown,,,11.11451199,-21.02242454,3.535093432,-20.84268204
65893,CHS,7/5/15,EAST CHICAGO,IND,Southeast,2704,583,2.24,NONE,Wild,,,11.25224117,-24.60730753,4.102387473,-23.86594393
65893,CHS,7/5/15,EAST CHICAGO,IND,Southeast,2704,583,2.24,NONE,Wild,,,11.25224117,-24.60730753,4.102387473,-23.86594393
67602,CHS,6/18/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,932,8.55,NONE,Wild,F,M,11.22354003,-26.03789745,4.620747958,-24.78335697
67678,RBT,6/18/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,670,2.4,NONE,Unknown,M,I,11.11652181,-23.44074488,3.569291751,-23.22714605
67680,CHS,6/18/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,836,6.25,NONE,Wild,M,M,10.95020735,-24.84700087,4.143025576,-24.06540555
67681,CHS,6/18/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,859,6.4,NONE,Wild,M,M,10.65704124,-23.79929248,3.562065771,-23.59284737
67684,CHS,6/18/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,877,8.7,NONE,Wild,M,M,11.41719534,-25.98195637,5.02084844,-24.33131641
67685,CHS,6/18/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,516,1.2,NONE,Wild,F,I,10.23697969,-23.16479851,3.234897631,-23.16479851
67686,CHS,6/18/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,341,0.3,ADCWT,Stock,F,I,9.925705512,-22.82517092,3.219013476,-22.82517092
67689,CHS,6/18/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,742,3.65,NONE,Wild,F,I,10.39828423,-24.24642774,4.016222527,-23.59036744
67690,COS,6/18/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,562,1.85,NONE,Unknown,M,I,9.951150216,-22.82432028,3.374600516,-22.82432028
67691,RBT,6/18/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,827,4.9,NONE,Unknown,M,I,11.07681086,-24.33339792,3.966166284,-23.7268933
67694,CHS,6/18/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,480,0.8,NONE,Wild,M,I,10.58090824,-22.83869999,3.175941953,-22.83869999
67809,CHS,8/16/15,KENOSHA,WM5,Southwest,2202,565,1.26,NONE,Wild,M,I,10.65704124,-22.43868358,3.258897552,-22.43868358
67824,COS,8/15/15,RACINE REEFPOINT MARINA,WM5,Southwest,2102,632,2.86,NONE,Unknown,F,M,10.57628308,-23.15048293,3.518227142,-22.98743806
67824,COS,8/15/15,RACINE REEFPOINT MARINA,WM5,Southwest,2102,632,2.86,NONE,Unknown,F,M,10.39305273,-23.37494931,3.536882087,-23.19343604
67825,COS,8/15/15,RACINE REEFPOINT MARINA,WM5,Southwest,2102,525,1.45,NONE,Unknown,F,M,10.60267757,-22.92328401,3.307828503,-22.92328401
67825,COS,8/15/15,RACINE REEFPOINT MARINA,WM5,Southwest,2102,525,1.45,NONE,Unknown,F,M,10.35130394,-22.85601634,3.299943729,-22.85601634
67826,COS,8/15/15,RACINE REEFPOINT MARINA,WM5,Southwest,2102,610,2.38,NONE,Unknown,M,M,10.40711938,-22.65561546,3.285195921,-22.65561546
67827,RBT,8/15/15,RACINE REEFPOINT MARINA,WM5,Southwest,2102,665,2.6,NONE,Unknown,F,I,10.06773237,-22.99156282,3.258151752,-22.99156282
67828,RBT,8/15/15,RACINE REEFPOINT MARINA,WM5,Southwest,2102,630,2.11,NONE,Unknown,F,I,9.638844997,-22.80027154,3.360052065,-22.80027154
67829,RBT,8/15/15,RACINE REEFPOINT MARINA,WM5,Southwest,2102,650,2.67,AD,Stock,F,I,9.638844997,-22.4138331,3.22884056,-22.4138331
67830,RBT,8/15/15,RACINE REEFPOINT MARINA,WM5,Southwest,2102,570,1.52,NONE,Unknown,F,I,9.472308954,-22.94867186,3.219263589,-22.94867186
67831,CHS,8/15/15,RACINE REEFPOINT MARINA,WM5,Southwest,2102,440,0.74,ADCWT,Stock,M,I,12.060157,-23.81517041,3.209883927,-23.81517041
67832,RBT,8/15/15,RACINE REEFPOINT MARINA,WM5,Southwest,2102,804,3.89,LP,Stock,M,I,10.5499977,-23.71856081,3.627961468,-23.44687896
67833,CHS,8/15/15,RACINE REEFPOINT MARINA,WM5,Southwest,2102,655,2.59,ADCWT,Stock,M,I,10.43577664,-23.2703719,3.341778539,-23.2703719
67834,RBT,8/15/15,RACINE REEFPOINT MARINA,WM5,Southwest,2102,620,2.19,NONE,Unknown,F,I,9.520264359,-24.33905345,4.066253203,-23.63346278
67835,CHS,8/15/15,RACINE REEFPOINT MARINA,WM5,Southwest,2102,566,1.47,NONE,Wild,M,I,10.37125482,-23.18372205,3.334208074,-23.18372205
67836,COS,8/15/15,RACINE REEFPOINT MARINA,WM5,Southwest,2102,566,1.65,NONE,Unknown,M,M,9.736499641,-22.28535228,3.268521685,-22.28535228
67836,COS,8/15/15,RACINE REEFPOINT MARINA,WM5,Southwest,2102,566,1.65,NONE,Unknown,M,M,9.932258838,-22.02782904,3.279619564,-22.02782904
67837,CHS,8/15/15,RACINE REEFPOINT MARINA,WM5,Southwest,2102,785,4.02,NONE,Wild,F,I,11.0467855,-23.5171163,3.465891942,-23.5171163
67838,BNT,8/14/15,KENOSHA,WM5,Northwest,2202,520,1.89,ALV,Stock,F,I,10.95979843,-22.14890366,3.540379135,-21.96392832
67839,COS,8/14/15,KENOSHA,WM5,Southwest,2202,648,3.28,NONE,Unknown,M,M,10.62351152,-22.1781297,3.57477011,-21.95910729
67840,RBT,8/14/15,KENOSHA,WM5,Southwest,2202,590,1.76,NONE,Unknown,F,I,9.623150501,-22.67975852,3.221516766,-22.67975852
67841,CHS,8/14/15,KENOSHA,WM5,Southwest,2202,480,0.93,NONE,Wild,F,I,11.05570924,-24.56015997,3.189712633,-24.56015997
67842,COS,8/14/15,KENOSHA,WM5,Southwest,2202,577,1.58,NONE,Unknown,F,M,9.609388019,-22.87646541,3.136661913,-22.87646541
67842,COS,8/14/15,KENOSHA,WM5,Southwest,2202,577,1.58,NONE,Unknown,F,M,9.668524913,-23.06483876,3.188240466,-23.06483876
67843,RBT,8/13/15,Port Washington,WM5,Southwest,1701,624,2.24,LM,Stock,F,I,10.23610777,-22.64489938,3.152383305,-22.64489938
67847,CHS,8/13/15,Port Washington,WM5,Southwest,1701,884,6.48,NONE,Wild,F,M,10.78752303,-23.30078359,3.350625651,-23.30078359
67848,COS,8/13/15,Port Washington,WM5,Southwest,1701,364,0.53,NONE,Unknown,M,I,9.562159575,-23.62899115,3.363442184,-23.62899115
67849,RBT,8/13/15,Port Washington,WM5,Southwest,1701,769,3.72,ADCWT,Stock,F,I,10.41615394,-22.7879098,3.134830037,-22.7879098
67852,RBT,8/13/15,Port Washington,WM5,Southwest,1701,674,2.45,NONE,Unknown,M,I,9.895012537,-22.77810007,3.18835774,-22.77810007
67853,RBT,8/13/15,Port Washington,WM5,Southwest,1701,605,1.98,NONE,Unknown,F,I,10.18651429,-23.32548275,3.359065285,-23.32548275
67854,LAT,8/13/15,Port Washington,WM5,Southwest,1701,576,1.52,RV,Stock,F,I,12.86345647,-25.47773649,4.362687052,-24.47867631
67859,CHS,8/13/15,Port Washington,WM5,Southwest,1701,868,6.45,NONE,Wild,F,M,11.41496903,-23.63880261,3.464875041,-23.63880261
67860,CHS,8/13/15,Port Washington,WM5,Southwest,1701,518,1.16,NONE,Wild,M,I,10.05333539,-23.11674197,3.160088279,-23.11674197
67861,CHS,8/13/15,Port Washington,WM5,Southwest,1701,774,4.31,NONE,Wild,F,M,11.12880221,-24.5974653,3.861949683,-24.09413511
67862,COS,8/13/15,Port Washington,WM5,Southwest,1701,546,1.94,NONE,Unknown,M,M,10.86566464,-24.77822884,4.183363371,-23.9566991
67863,COS,8/13/15,Port Washington,WM5,Southwest,1701,607,2.42,NONE,Unknown,F,M,10.5591091,-23.7465733,3.683905138,-23.41950721
67864,COS,8/13/15,Port Washington,WM5,Southwest,1701,660,3.39,NONE,Unknown,M,M,10.80641441,-22.10451305,3.552018402,-21.90801483
67865,CHS,8/13/15,Port Washington,WM5,Southwest,1701,821,4.91,NONE,Wild,M,M,11.13100262,-23.3314572,3.358755943,-23.3314572
67866,COS,8/13/15,Port Washington,WM5,Southwest,1701,359,0.4,NONE,Unknown,M,I,9.775975622,-23.48687012,3.139473368,-23.48687012
67901,LAT,6/4/15,McKinley Marina,WM5,Southwest,1901,630,2.32,RP,Stock,F,I,12.9024283,-25.98639667,4.819121068,-24.53546681
67912,RBT,6/7/15,SHEBOYGAN SOUTH PIER,WM5,Southwest,1501,693,3.21,NONE,Unknown,F,I,10.71360093,-23.33263468,3.568305202,-23.12001253
67913,BNT,6/11/15,MCKINLEY MARINA,WM5,Southwest,1901,550,1.57,NONE,Unknown,M,I,10.89762729,-23.29891223,3.635350142,-23.01991559
67915,COS,6/11/15,MCKINLEY MARINA,WM5,Southwest,1901,542,1.36,NONE,Unknown,F,I,9.630855494,-23.14639312,3.244174512,-23.14639312
67917,RBT,6/11/15,MCKINLEY MARINA,WM5,Southwest,1901,648,2.49,NONE,Unknown,M,I,9.984056482,-22.94878929,3.236233942,-22.94878929
67929,CHS,6/11/15,MCKINLEY MARINA,WM5,Southwest,1901,529,1.74,NONE,Wild,F,I,11.06336475,-24.78276124,3.808266536,-24.33257737
67933,RBT,6/7/15,SHEBOYGAN SOUTH PIER,WM5,Southwest,1501,734,3.17,NONE,Unknown,F,I,10.66922621,-22.66136434,3.197912015,-22.66136434
67980,LAT,6/4/15,McKinley Marina,WM5,Southwest,1901,574,1.44,LPRV,Stock,M,I,12.71911155,-24.44771533,3.965710343,-23.84166209
67981,COS,6/4/15,McKinley Marina,WM5,Southwest,1901,560,1.35,NONE,Unknown,F,I,9.720673866,-23.39905569,3.221830861,-23.39905569
67981,COS,6/4/15,McKinley Marina,WM5,Southwest,1901,560,1.35,NONE,Unknown,F,I,9.745062459,-23.11469706,3.216881332,-23.11469706
67982,CHS,6/4/15,McKinley Marina,WM5,Southwest,1901,686,2.87,NONE,Wild,M,I,10.71046761,-24.49774493,3.696907038,-24.15780696
67983,COS,6/4/15,McKinley Marina,WM5,Southwest,1901,518,1.14,NONE,Unknown,M,I,9.217821281,-22.89180221,3.177863043,-22.89180221
67985,CHS,6/4/15,McKinley Marina,WM5,Southwest,1901,539,1.41,ADCWT,Stock,F,I,11.21279657,-25.62732065,4.371947714,-24.61909241
67986,CHS,6/4/15,McKinley Marina,WM5,Southwest,1901,609,2.51,ADCWT,Stock,M,I,11.39001351,-26.30371537,4.962113312,-24.71122319
67987,CHS,6/4/15,McKinley Marina,WM5,Southwest,1901,485,0.98,NONE,Wild,M,I,10.36246703,-23.03392324,3.158788271,-23.03392324
67989,LAT,6/4/15,McKinley Marina,WM5,Southwest,1901,655,2.28,NONE,Wild,F,I,12.40792639,-24.86757157,3.998717919,-24.22884083
67995,CHS,6/4/15,McKinley Marina,WM5,Southwest,1901,342,0.32,ADCWT,Stock,M,I,8.769580411,-22.08099662,3.093301576,-22.08099662
68007,RBT,6/21/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,741,2.62,NONE,Unknown,F,I,11.18474378,-22.87129246,3.20807581,-22.87129246
68008,COS,6/21/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,543,1.34,NONE,Unknown,M,I,9.772540827,-23.10140517,3.206348613,-23.10140517
68009,CHS,6/21/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,480,1.13,NONE,Wild,M,I,9.722548977,-23.81915432,3.424686554,-23.81915432
68012,CHS,6/21/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,596,2.08,ADCWT,Stock,M,I,11.16693499,-25.3453052,4.305206644,-24.40315062
68025,CHS,6/21/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,434,0.76,NONE,Wild,F,I,10.14607489,-23.41529838,3.18264645,-23.41529838
68032,LAT,6/21/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,911,7.15,ADCWT,Stock,M,M,13.55729249,-26.11572848,5.248991492,-24.2392269
68058,CHS,6/21/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,570,1.81,ADCWT,Stock,M,I,10.88574359,-22.94192249,3.216897521,-22.94192249
68063,CHS,6/21/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,574,1.89,ADCWT,Stock,F,I,11.3251146,-24.32342235,3.502511597,-24.17593587
